,stimulus_id,EIG,Look_away,surprisal,kl
0,0,,False,-0.0023378891123400727,
1,0,,False,-0.011501587864357503,
2,0,,False,-0.012811392706632311,
3,0,,False,-0.013161153681549461,
4,0,,True,-0.013247947847499383,
5,1,,False,-0.01327001737284128,
6,1,,False,-0.02262749447787466,
7,1,,False,-0.022537151981740226,
8,1,,False,-0.02253542486812942,
9,1,,True,-0.022530412255338576,
10,2,,False,-0.02252457417026671,
11,2,,False,-0.03389670590951699,
12,2,,False,-0.0338615073083012,
13,2,,False,-0.03384500645675419,
14,2,,True,-0.033856194773268865,
15,3,,False,-0.033855122889315976,
16,3,,False,-0.040343866130035544,
17,3,,False,-0.040338928194790985,
18,3,,False,-0.04032500014382519,
19,3,,True,-0.04035750792027652,
20,4,,False,-0.04032884728526663,
21,4,,False,-0.04298307539501871,
22,4,,False,-0.04298892019491244,
23,4,,False,-0.04300303290468671,
24,4,,True,-0.042995795889386,
25,5,,False,-0.04298495314945866,
26,5,,False,-0.044174374564191786,
27,5,,False,-0.044185368469617924,
28,5,,False,-0.04418995860043862,
29,5,,False,-0.044196714847378644,
30,5,,False,-0.04418597621808576,
31,5,,False,-0.04418299903368553,
32,5,,False,-0.044184215335560946,
33,5,,False,-0.044178176846250736,
34,5,,False,-0.04418071055225574,
35,5,,False,-0.04417556430318302,
36,5,,False,-0.044197206720571126,
37,5,,False,-0.04418662241855281,
38,5,,False,-0.04419092489665002,
39,5,,False,-0.04419164626570435,
40,5,,False,-0.044179283662545116,
41,5,,False,-0.0441754269112974,
42,5,,False,-0.04416229248054784,
43,5,,False,-0.04418442711598829,
44,5,,False,-0.04417024251269944,
45,5,,False,-0.04419863655893431,
46,5,,False,-0.04419584476257144,
47,5,,False,-0.044196578180594914,
48,5,,False,-0.044182002088654374,
49,5,,False,-0.04418741133207581,
50,5,,False,-0.0441730184793571,
51,5,,False,-0.04417980812860279,
52,5,,False,-0.04418783346857462,
53,5,,False,-0.044185099476039144,
54,5,,False,-0.04418783105316288,
55,5,,False,-0.04418610294000778,
56,5,,False,-0.04417447715109024,
57,5,,False,-0.044187680992703156,
58,5,,False,-0.04418206103212526,
59,5,,False,-0.044169463492294496,
60,5,,False,-0.04417905698884502,
61,5,,False,-0.04418393593447429,
62,5,,False,-0.04418715753952028,
63,5,,False,-0.04418286611442693,
64,5,,False,-0.04418299820111027,
65,5,,False,-0.044174429058665345,
66,5,,False,-0.04418864156452885,
67,5,,False,-0.04416563337541619,
68,5,,False,-0.04418196319063488,
69,5,,False,-0.04418103696157816,
70,5,,False,-0.044193278211502124,
71,5,,False,-0.04421831112005516,
72,5,,False,-0.044192484879931104,
73,5,,False,-0.04417330536663594,
74,5,,False,-0.04418046656791105,
75,5,,False,-0.04418225063744906,
76,5,,False,-0.04418800337166043,
77,5,,False,-0.04417641023390596,
78,5,,False,-0.044178229764817147,
79,5,,False,-0.04420266555152183,
80,5,,False,-0.044180013365511715,
81,5,,False,-0.04419866961466243,
82,5,,False,-0.04417264580053379,
83,5,,False,-0.044189581533974086,
84,5,,False,-0.04417576923078332,
85,5,,False,-0.04419299456057285,
86,5,,False,-0.04417281112510148,
87,5,,False,-0.04418795128401606,
88,5,,False,-0.04418877671248729,
89,5,,False,-0.044181215146299746,
90,5,,False,-0.04419025846759574,
91,5,,False,-0.0441853479576745,
92,5,,False,-0.044180810123878686,
93,5,,False,-0.044199951624335446,
94,5,,False,-0.044178932970791285,
95,5,,False,-0.04417776722763044,
96,5,,False,-0.044185340650913105,
97,5,,False,-0.04418168642586856,
98,5,,False,-0.04419342733812052,
99,5,,False,-0.04417906191389021,
100,5,,False,-0.0441823624101175,
101,5,,False,-0.044178261263989195,
102,5,,False,-0.044177873593250566,
103,5,,False,-0.04418993844729586,
104,5,,False,-0.044182445838884074,
105,5,,False,-0.044172810020342096,
106,5,,False,-0.04417470973315167,
107,5,,False,-0.04419186828992182,
108,5,,False,-0.04419472042273277,
109,5,,False,-0.04419242828979032,
110,5,,False,-0.044202911336334645,
111,5,,False,-0.04418386473121967,
112,5,,False,-0.04418561071125794,
113,5,,False,-0.04418961179185389,
114,5,,False,-0.044174130710752595,
115,5,,False,-0.04419093835385341,
116,5,,False,-0.044180223565200585,
117,5,,False,-0.04419266130870918,
118,5,,False,-0.0441831279464346,
119,5,,False,-0.04419699491161551,
120,5,,False,-0.044177026949596084,
121,5,,False,-0.04420742762363753,
122,5,,False,-0.04418052053256325,
123,5,,False,-0.04418197427679933,
124,5,,False,-0.044196207618243624,
125,5,,False,-0.044189016086778096,
126,5,,False,-0.04417980827556367,
127,5,,False,-0.04419478784512357,
128,5,,False,-0.04417567929207453,
129,5,,False,-0.0442009719104711,
130,5,,False,-0.044180769645918855,
131,5,,False,-0.04417042724636251,
132,5,,False,-0.044172284244398896,
133,5,,False,-0.044169944923778647,
134,5,,False,-0.04419220024580467,
135,5,,False,-0.04419226925613345,
136,5,,False,-0.04419474186823432,
137,5,,False,-0.044192785476180184,
138,5,,False,-0.044173801387279873,
139,5,,False,-0.0441713003296153,
140,5,,False,-0.044187278099200894,
141,5,,False,-0.044184041887700976,
142,5,,False,-0.044157378912075454,
143,5,,False,-0.04418228831842339,
144,5,,False,-0.0441779576966235,
145,5,,False,-0.04418595173243162,
146,5,,False,-0.044182418233626175,
147,5,,False,-0.04419020061343386,
148,5,,False,-0.04418813683913703,
149,5,,False,-0.0441762901228971,
150,5,,False,-0.044196134026428,
151,5,,False,-0.04418773487632503,
152,5,,False,-0.04418700454278786,
153,5,,False,-0.044181497823388045,
