,inanimate_008_right.png,inanimate_004_left.png,inanimate_005_left.png,inanimate_005_right.png,animate_004_left_pair.png,animate_005_left.png,animate_004_left.png,inanimate_004_left_pair.png,inanimate_011_right.png,animate_012_right.png,animate_003_left_pair.png,animate_006_right.png,inanimate_003_left_pair.png,inanimate_012_left.png,animate_007_left_pair.png,animate_010_left_pair.png,inanimate_007_left_pair.png,inanimate_010_left_pair.png,inanimate_003_right.png,animate_012_left.png,animate_001_right.png,inanimate_009_right.png,animate_009_left_pair.png,inanimate_010_right.png,inanimate_004_right.png,inanimate_009_left_pair.png,animate_007_right.png,inanimate_003_left.png,inanimate_002_left.png,animate_008_left.png,animate_009_left.png,inanimate_002_right.png,animate_002_left.png,animate_003_left.png,inanimate_009_left.png,inanimate_008_left.png,animate_002_right.png,animate_008_right_pair.png,animate_011_left.png,animate_010_left.png,inanimate_008_right_pair.png,inanimate_007_right.png,inanimate_012_right_pair.png,inanimate_007_right_pair.png,animate_012_right_pair.png,animate_007_right_pair.png,inanimate_010_left.png,inanimate_011_left.png,animate_010_right.png,inanimate_006_right_pair.png,animate_006_left.png,animate_007_left.png,animate_006_right_pair.png,animate_004_right.png,animate_009_right_pair.png,inanimate_008_left_pair.png,inanimate_009_right_pair.png,animate_008_left_pair.png,inanimate_001_right_pair.png,inanimate_001_right.png,animate_009_right.png,inanimate_007_left.png,animate_001_right_pair.png,inanimate_006_left.png,animate_003_right.png,inanimate_011_left_pair.png,inanimate_006_left_pair.png,animate_011_left_pair.png,animate_006_left_pair.png,animate_001_left.png,animate_003_right_pair.png,inanimate_002_left_pair.png,animate_002_left_pair.png,inanimate_003_right_pair.png,inanimate_012_right.png,inanimate_006_right.png,animate_004_right_pair.png,animate_011_right_pair.png,inanimate_001_left.png,inanimate_004_right_pair.png,inanimate_011_right_pair.png,animate_010_right_pair.png,animate_005_right_pair.png,inanimate_010_right_pair.png,inanimate_005_right_pair.png,animate_005_right.png,animate_011_right.png,inanimate_005_left_pair.png,inanimate_012_left_pair.png,animate_002_right_pair.png,animate_005_left_pair.png,inanimate_002_right_pair.png,animate_012_left_pair.png,inanimate_001_left_pair.png,animate_008_right.png,animate_001_left_pair.png
inanimate_008_right.png,0.0,1132.8777818038643,5071.650958560269,4880.890822874964,2426.504658854027,2719.6394669598235,1478.9788150696675,1242.2538167404098,2509.566774957157,2160.1749658575127,3680.0219644086656,4109.957752124047,520.421555484756,2678.637767338469,4230.985794577217,2923.8117006081065,5302.309349268847,1686.051352365294,1268.8301094575884,2738.011120481947,4736.549456286276,1710.4855640404373,6282.698849923356,1232.669339684882,2747.795208386598,2330.6682004555255,1301.7291508443416,1995.9976855757156,470.02536954763343,3699.688852881452,2422.588617997642,213.45843553308097,381.2105552715721,3106.08900616641,3199.193448183194,1951.8879938918355,608.7471857074995,2819.9894644315027,3169.6981552056163,1182.2300970149065,1799.9438246436905,4938.429040094082,1213.7483860788097,5565.987609830391,4214.162472410815,1292.3819166768794,2380.9525963596843,2016.9082431135564,2999.042793063836,2729.991460044676,3810.1551738495245,1626.6649431321407,5519.804849760875,1053.2890258787772,5045.157357178813,107.47834490889996,2198.211977806125,1976.8876331799156,470.0687653746293,1382.4625759859027,3336.714844271295,4153.8640916734585,4890.655030501225,1022.2153058939946,4617.359196534422,4174.8935558642315,1370.804427421679,4038.70780779862,3291.9980322690867,2545.9659203202013,4013.128838533677,991.7519848056724,2690.411441077035,681.7082525426276,2200.566135279716,1388.8152327793484,2572.020769815628,2011.295719321072,1991.2186664368016,199.3680353708557,3157.3136914346733,4836.200065618091,5517.627598091358,204.1448678156336,5268.521388751567,2799.3190661980043,1647.4138289702153,5402.873976021431,439.26001608031885,2708.991925592883,6335.611445010374,686.3721234409348,3826.810559093893,559.078933949614,3593.0905648651606,3459.7667313374604
inanimate_004_left.png,1132.8777818038643,0.0,6190.613330220084,6000.882929445475,3541.068479515624,3830.5424305729925,2582.8391427737533,2345.170727184968,3630.1675658856047,3268.409686486443,4789.883631574416,5222.760261197106,643.2610602961113,1557.0922612862437,5336.880571951429,4027.1993059216134,6423.959490751542,602.3108965531973,145.6173577093959,3850.615083870275,5848.494275058594,2835.362060874999,7390.7828979579035,170.4995818238411,1625.6797845686742,3455.8060113306638,2388.7987939931004,873.5291721181228,700.5722471708832,4814.179940410669,3518.0994582928033,1225.2304280159703,1359.5005847485857,4214.830178866726,4319.913204811511,859.1597294168758,1650.1303642813905,3934.1161563395553,4283.7223256513735,2260.4302318420314,2926.9720293810014,6057.0638376294955,2301.6743500437647,6687.926672534621,5326.329831242598,2366.6021549651005,1270.9792353301418,3139.347097665096,4109.031208003686,3857.5984305910974,4925.477887089086,2717.354188509067,6636.814939265995,2142.7812455224603,6151.912379589951,1105.6012107352237,3324.9792858803867,3087.6664134207244,701.0998108785132,253.32967256324415,4439.976624768344,5273.821995920306,6003.367895948034,403.932282386546,5730.143213001117,5298.911496481928,2491.398723474672,5155.349398962036,4408.551942653241,3655.86233264102,5125.5271149688115,2085.080838670341,3803.6022931396055,1748.4175497122992,1077.281393062816,2514.8688022297324,3688.1477575767103,3123.004161222788,864.3809879967988,1140.1966089315335,4283.462657926147,5948.9351247676705,6635.435628605202,939.9222044365365,6388.915576981097,3912.4472788300277,2758.233219320618,6523.267002686737,1479.6269642927516,3823.5143591758556,7452.380764054398,1772.4770892416539,4939.067983066697,1619.881683924704,4707.042992589663,4574.597624310864
inanimate_005_left.png,5071.650958560269,6190.613330220084,0.0,194.74939191608192,2715.3608439142436,2398.8305637876947,3651.193349958733,3847.107730772808,2562.3316114255344,2960.2848273721597,1503.3467548958347,1058.2160118050826,5549.071895366433,7745.907690210967,1018.21378202219,2252.077991017279,256.9922012779047,6755.4755468255,6326.028600844135,2374.5845964412447,490.32358230142927,3363.354362604531,1304.4811912294747,6301.902794431683,7814.818631422729,2743.163458682769,3840.9837456649448,7059.528897391552,5492.5614185130535,1433.233584784047,2733.3486329213506,4965.96677806139,4879.896474191405,2030.5067575430483,1873.5546414906407,7023.187003672921,4590.352796966246,2331.7598359269405,1943.9464838121996,3986.188703570283,3274.971797352528,133.97896307497422,3895.9173317587392,508.42193380206504,992.3519697287455,3891.609581784997,7451.329251177083,3054.906181750211,2130.1555003877315,2402.6159595056065,1329.2036918791052,3515.443174598358,608.5745145052174,4103.8528309258945,522.5300019120939,5121.436186905645,2877.8808463127866,3160.0491497515154,5492.055583276742,6443.4190086531835,1822.1883207084327,918.1250730718801,391.729982408854,6068.312758880312,612.5095546962502,909.4569837710263,3771.722077146976,1136.6305354277627,1865.4324568381123,2558.120999354443,1174.2564842188078,4109.219476374217,2434.803224322021,4447.647611444435,7265.531907016441,3713.422836222308,2586.0553223457728,3130.9735342158388,7054.891572578818,5051.293092369772,1927.040850229277,503.91010810105485,631.1622658376237,5263.520188666897,205.87106610221844,2322.4823046796714,3468.6618363276775,335.8125387734958,4715.359598660523,2422.219874586519,1330.6102656815146,4421.629754105564,1348.5023066128972,4575.942886303784,1539.3552195997115,1653.7448224302834
inanimate_005_right.png,4880.890822874964,6000.882929445475,194.74939191608192,0.0,2522.1423311945246,2207.556946579975,3459.080062071841,3658.332918121603,2371.6153637349316,2768.682348810803,1316.9818322833983,876.3532501501577,5359.551088655837,7555.6800213684,853.1655470702455,2062.3419587673898,427.49511167642345,6564.409868371778,6136.123015848447,2183.054617759059,372.062677698817,3171.8932305632693,1478.2077697088148,6111.327008061216,7624.628475831117,2551.629029841944,3650.100525734631,6869.30982334803,5303.313101174843,1243.5480633399975,2544.1079953135772,4776.585425697537,4688.448792397196,1840.6108279886835,1683.6883288889019,6832.2303354837995,4398.8892874625035,2138.9580021713905,1752.6624637177833,3794.787682645799,3083.8574858746533,73.27237968511065,3707.916660256716,689.6982304231873,816.7048201482725,3700.3037296770126,7260.604676905904,2864.0165774877173,1939.5481735584185,2207.9927766317833,1139.8510159370499,3324.928893992138,741.4306873885915,3911.582907070123,530.2842037390827,4930.0451387497715,2686.014624069134,2967.2035597454246,5302.811355955636,6253.674029984471,1636.0883376280397,727.155063857791,330.96292018722573,5876.168993232195,468.9879848744517,716.0355998116169,3578.0065716830754,950.4278961484462,1673.0843784127997,2367.5358976015273,991.5766275811865,3920.736624140702,2242.606832471653,4259.090972732833,7075.368994640197,3520.500869045694,2392.398958836087,2937.862751947875,6865.096382716968,4861.810193824282,1733.652456742623,422.0799190954802,756.0769061575095,5072.691930723834,392.3064670715314,2130.5686716269183,3276.4056323491145,524.067816244728,4526.560609119457,2229.5555311097246,1503.2076909403577,4232.894537102351,1162.3288015411008,4387.428766219784,1349.3615451758,1462.8486886524315
animate_004_left_pair.png,2426.504658854027,3541.068479515624,2715.3608439142436,2522.1423311945246,0.0,355.61433855354255,960.5414049387705,1274.867789364608,419.8061891161083,308.5551777218539,1269.7843357907504,1709.0256259498333,2905.851834054773,5081.2780770628415,1831.446522139636,531.5721227491459,2932.9831746029727,4086.068951260387,3669.872103003601,372.1334368382731,2348.227559683061,769.2728626811942,3886.4065050428917,3641.875667644628,5150.293048019893,402.2630440469346,1167.9072307438632,4395.020036456007,2858.3129935490692,1300.840758870168,300.42949172661184,2337.470834051036,2196.0773631080956,718.9303036871337,935.5652449611833,4357.425104417245,1904.4066577552267,395.9888568760058,782.9945279007217,1297.6199064979817,740.4107938957127,2583.1626461644,1329.3383886931044,3197.025231082602,1806.694057854712,1201.2086159906828,4783.987335870833,549.014461683619,613.2654978136037,404.19596525655254,1408.1641259583182,854.9580788392207,3114.19865369661,1407.888162510729,2649.0609783500067,2469.562650425234,431.54079554937994,454.8427103685963,2857.7380794927476,3792.900938193946,964.7151305627058,1809.5996000685554,2500.6783855185718,3386.8403007746238,2219.1714120082365,1826.2183345527887,1093.6605315564461,1627.6683308716106,872.1873611811467,291.9662484097076,1604.2558981012282,1529.1461234441058,294.8249018477628,1841.7140748975883,4602.084370240334,1049.4069185419473,156.4261193431662,421.35193419905835,4399.796639057823,2415.7595834286317,834.8518941889864,2433.3499923543714,3108.9141194085514,2607.8467764944985,2913.3143335297623,407.57196955560727,783.360162254461,3043.8353741740975,2098.0029515638857,297.5745089043244,3929.8941850734964,1824.7601303967006,1417.1500901459924,1973.242277599054,1194.1036420321518,1071.3390025255292
animate_005_left.png,2719.6394669598235,3830.5424305729925,2398.8305637876947,2207.556946579975,355.61433855354255,0.0,1261.6356624439823,1520.8369739646603,371.31518541477067,565.839051992399,960.9657585315105,1394.045461619758,3190.267247224731,5378.254242005112,1512.8238956185135,246.62467950446907,2623.545133945109,4387.625560198339,3961.020828079017,33.436944855394074,2027.6564427652465,1033.5494530150002,3569.4260068028634,3938.5337886457837,5447.110359389079,509.4095986377853,1451.3688283286149,4690.4878239888,3140.2027044076913,985.7593132881677,357.1911549827344,2615.9564868035613,2495.413565543333,387.19575370575757,638.399685660291,4658.91218127124,2202.825276062555,198.66319576054605,457.24273822170323,1592.3137364522938,984.4841025621364,2265.671096001705,1567.546102715647,2888.268730455071,1496.2054377671466,1495.0128148752658,5084.198483868929,756.0801533808861,279.5455237256349,374.38441841139763,1096.9217081971399,1124.2715889287465,2808.8415568349596,1714.7727827472124,2329.7270934772578,2769.5725291867916,614.4368169729328,772.7597848244137,3139.5829061304466,4083.48690131219,627.2975082073766,1492.8860452125675,2181.8879071693045,3696.2768651579117,1903.6341047241542,1522.3060324589433,1419.753637946436,1326.7439679206243,595.5405545987715,189.85514109239733,1295.0588757654523,1781.5889152919915,79.50181496906113,2104.0142616034514,4897.653484785717,1359.070381477732,300.446768957384,748.2738000209412,4692.495677821714,2695.9770639558997,568.5767056758543,2120.838071525089,2806.884325071235,2902.526002368951,2599.8344376128016,93.51095876698922,1083.2191243297211,2730.7733895959645,2367.5535017283078,118.58103531259583,3624.5207383583656,2088.4536159080694,1108.5898822798374,2237.63001005126,878.0141044303319,749.8435850552434
animate_004_left.png,1478.9788150696675,2582.8391427737533,3651.193349958733,3459.080062071841,960.5414049387705,1261.6356624439823,0.0,470.2539442935409,1120.5766489600373,696.2877391374896,2215.2596662727983,2654.3910798944494,1948.7786599934066,4122.861625714306,2769.8827978895392,1451.7900709447206,3876.4064062376547,3130.297983344868,2710.626488685497,1282.6856921719693,3289.2803548567044,402.7631470654563,4829.979616668644,2685.1127420522575,4191.791783012242,956.7390594023324,228.98500046143366,3435.9789552249777,1903.8321464702533,2245.623266477963,962.1577578212166,1388.703713671468,1236.9386213753753,1646.0059194804226,1806.297332220165,3402.3338054346355,945.044021426698,1353.1316153095718,1717.1913096215799,345.9848917701534,533.789448664205,3517.8515791546406,512.3895265415315,4141.084396184782,2754.571395693858,269.5118828002189,3827.2823264340827,667.7065105360713,1539.5945309554354,1305.8534436789498,2355.7223814873605,209.77923573518706,4067.0402270708696,453.4938758032349,3589.367939598438,1525.8060807865415,832.3487537955325,506.29339181442685,1903.2055824185861,2834.6230270607484,1879.4010269735836,2736.761430626889,3443.4338789022086,2436.4165903340627,3164.5821947025106,2759.211127781784,312.9305423061985,2581.205474550952,1829.673940742206,1100.337759198046,2552.5804653419455,654.4025303666838,1228.0370132666758,914.6164788728364,3643.1934452011114,249.52428673050537,1109.1826620856316,543.374534203007,3440.9796066123827,1463.0255063675756,1744.7210906612559,3380.9441567662193,4063.4543446177004,1653.9582495976529,3850.5505609128663,1339.4400673472044,184.60635504726454,3982.8290454038784,1156.1765425139358,1245.5074304242514,4882.999622465541,908.1836782535066,2365.29120340689,1044.1318748726433,2137.95432315658,2009.832281755932
inanimate_004_left_pair.png,1242.2538167404098,2345.170727184968,3847.107730772808,3658.332918121603,1274.867789364608,1520.8369739646603,470.2539442935409,0.0,1293.1736957732073,987.8382401867344,2477.4045064024317,2896.388434375254,1703.543893628508,3901.9891220388663,3016.882413520937,1739.2088709881705,4082.823126684066,2919.625753418174,2481.6495142067743,1537.8522957847304,3513.3697582994982,536.5996876443745,5057.560505599318,2462.020429348187,3970.6834622084702,1130.0426646714511,381.5401842106702,3216.3022678625075,1645.8704730303054,2489.353559035076,1236.252784843805,1119.9531735179041,1089.882963555472,1901.2563085959812,1978.9646983547166,3186.3133764137874,832.7889455981425,1648.3699688290776,1961.7971997509057,463.91475088552005,624.8233539319742,3713.5476376090783,98.11346559055293,4346.535996912393,3003.793151519335,490.0909050227557,3611.0418817758014,811.6582679238954,1796.067371179571,1575.8206260249606,2600.8747081519714,527.6274629275981,4305.247674506455,514.0193720154915,3823.647113065462,1307.5711558865864,1008.5848037135758,861.8839819784009,1645.3530515621742,2597.925865504793,2123.796865154955,2931.7293248352084,3667.7995316576325,2255.3297555173413,3399.2396794099695,2961.034231366145,544.4164688501352,2834.6945997595385,2106.0451596615576,1337.3434593337413,2805.3883559212145,263.48564480796404,1503.6656351104953,603.4022170018932,3421.6498686778723,431.41257005404094,1426.74629063695,902.3515853560208,3209.3347391136526,1206.0843273992268,1955.860923688716,3619.54054496862,4306.027137195218,1430.8028070170117,4045.8116078304097,1605.2815886561123,556.7271457769294,4180.229604436854,869.4149840541398,1529.1432568087691,5119.061636321067,575.4083420103733,2621.410730471639,729.3343327923533,2383.852330897264,2247.7760992881817
inanimate_011_right.png,2509.566774957157,3630.1675658856047,2562.3316114255344,2371.6153637349316,419.8061891161083,371.31518541477067,1120.5766489600373,1293.1736957732073,0.0,497.3050669775656,1227.7868487681915,1624.584944409095,2989.7774419258103,5184.33040410103,1761.0837496731672,611.6166783290838,2793.950497105397,4193.207688308568,3765.5052301934234,363.99990030655505,2237.5726812474327,802.7070471507676,3785.179192390528,3739.7345429678617,5253.31500343374,197.8260288751725,1307.0354341122609,4498.339349703597,2933.848659563659,1218.74880981189,457.7328382869101,2407.0101725798263,2326.173989475515,682.0747157800553,693.4974687808696,4460.8982525325155,2041.2153406266727,509.3619751820547,707.8207515937924,1455.5332054984497,719.4435136275656,2429.0228717744067,1349.6296523710496,3057.839164152301,1734.3861817338814,1373.0707068688446,4889.0633692884985,492.9660699884536,584.2300199400072,431.10575899721385,1327.476327346181,1001.4543845167495,3021.1907802159117,1564.3730994528244,2557.200436783827,2560.3932812053677,332.7941986889117,684.8099409981456,2933.3702670319867,3882.819122775656,903.3872474641668,1644.5153653188324,2390.280903110982,3508.801265967163,2123.2136693532652,1669.5014979996968,1245.5997580395658,1559.4866279508929,865.4772020844525,263.00578174590095,1538.787108888792,1556.3262214873537,379.18154560048504,1894.5594569502196,4704.24500677012,1167.2927871388688,451.96347976920515,669.1568997600987,4494.128308727813,2492.326712337544,666.0771345403842,2343.347748830208,3021.3736563712205,2701.2322153325044,2759.969626088643,426.3061491069861,938.4586698262201,2894.111459162864,2160.082465933376,405.130566682071,3834.6926653817363,1866.2152609957518,1359.2559139754685,2021.8613847789436,1117.2804598727735,978.0170051131784
animate_012_right.png,2160.1749658575127,3268.409686486443,2960.2848273721597,2768.682348810803,308.5551777218539,565.839051992399,696.2877391374896,987.8382401867344,497.3050669775656,0.0,1522.3934688952982,1959.425820666088,2629.554422787188,4813.8925635172745,2075.299097681752,764.4709533308242,3185.8689304908835,3823.074860065896,3397.952703810495,587.701296857765,2593.3440309775906,520.6133774576346,4134.2883171803205,3375.050774893258,4882.756298967206,405.51758612300097,887.4241183071624,4126.26734628487,2581.121004923123,1551.1295598797865,294.4489726418336,2058.850261889473,1929.7838141639163,950.3792258308918,1139.0780666303374,4094.7282753435716,1637.1498115580112,674.0888137967037,1022.3930511943028,1027.405773658263,522.4054548968952,2826.9172266192068,1034.8510640150646,3450.6620913429933,2060.5207516529676,931.8924822312206,4519.631512384182,351.41268368028744,843.9238189784073,679.0986585419079,1661.858634379298,564.3609391354805,3373.752777146598,1149.432187764629,2893.850028263837,2209.945387212796,361.4321118101634,232.77928095674636,2580.488827434686,3521.0972110033076,1184.5438731997338,2049.0645277611916,2747.669214491255,3131.593239505495,2469.2630862387527,2075.390954318983,878.7317230560278,1889.6110597304764,1144.3799945465526,409.09730409122636,1858.9391434725073,1241.9403112302537,537.0397010405007,1553.8195330345372,4333.498033110559,812.204711240377,464.3327760014357,228.4596890733554,4129.312730715509,2137.2297001161946,1076.0934678568346,2686.1005587181166,3371.144780204833,2340.4798598716143,3160.716291622826,646.1306851748924,519.8757516660075,3292.4184603303397,1813.4763662915302,559.9282069591945,4189.537887139837,1541.248961107659,1671.9452771961667,1687.7769575004204,1443.357731515978,1315.1330428882927
