,batch_id,j_i,stimulus_id,stim_squence,violation_type,epsilon,b_val,d_val,n_sample
0,1,0,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,29
1,1,1,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,48
2,1,2,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,13
3,1,3,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,67
4,1,4,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,32
5,1,5,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,19
6,1,6,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,48
7,1,7,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,46
8,1,8,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,24
9,1,9,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,92
10,1,10,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,24
11,1,11,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,56
12,1,12,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,185
13,1,13,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,36
14,1,14,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,49
15,1,15,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,45
16,1,16,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,29
17,1,17,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,34
18,1,18,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,82
19,1,19,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,72
20,3,0,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,31
21,3,1,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,11
22,3,2,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,29
23,3,3,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,11
24,3,4,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,166
25,3,5,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,32
26,3,6,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,23
27,3,7,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,64
28,3,8,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,92
29,3,9,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,59
30,3,10,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,97
31,3,11,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,108
32,3,12,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,107
33,3,13,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,102
34,3,14,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,112
35,3,15,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,49
36,3,16,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,48
37,3,17,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,20
38,3,18,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,82
39,3,19,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,18
40,4,0,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,39
41,4,1,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,60
42,4,2,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,35
43,4,3,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,45
44,4,4,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,44
45,4,5,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,89
46,4,6,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,13
47,4,7,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,43
48,4,8,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,91
49,4,9,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,20
50,4,10,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,11
51,4,11,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,136
52,4,12,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,38
53,4,13,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,16
54,4,14,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,30
55,4,15,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,82
56,4,16,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,43
57,4,17,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,83
58,4,18,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,24
59,4,19,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,44
60,5,0,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,57
61,5,1,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,23
62,5,2,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,21
63,5,3,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,61
64,5,4,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,143
65,5,5,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,80
66,5,6,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,16
67,5,7,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,52
68,5,8,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,27
69,5,9,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,62
70,5,10,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,171
71,5,11,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,76
72,5,12,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,15
73,5,13,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,121
74,5,14,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,38
75,5,15,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,41
76,5,16,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,35
77,5,17,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,122
78,5,18,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,68
79,5,19,0,BD,identity,0.001,0.2371541501976284,0.1561264822134387,47
80,6,0,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,28
81,6,1,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,61
82,6,2,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,52
83,6,3,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,43
84,6,4,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,31
85,6,5,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,23
86,6,6,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,27
87,6,7,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,70
88,6,8,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,29
89,6,9,0,BBD,identity,0.001,-0.1559288537549407,-0.2808300395256917,11
