subject,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type
SS1682423635430,7956,deviant_block,media/padded_stims/inanimate_002_right.png,media/padded_stims/inanimate_006_right.png,inanimate_pair_right,inanimate_pair_right,identity,6,3,5,inanimate,pair,right,background
SS1682423635430,5504,deviant_block,media/padded_stims/inanimate_002_right.png,media/padded_stims/inanimate_006_right.png,inanimate_pair_right,inanimate_pair_right,identity,6,4,5,inanimate,pair,right,background
SS1682423635430,6419,deviant_block,media/padded_stims/inanimate_002_right.png,media/padded_stims/inanimate_006_right.png,inanimate_pair_right,inanimate_pair_right,identity,6,5,5,inanimate,pair,right,background
SS1682423635430,6898,deviant_block,media/padded_stims/inanimate_002_right.png,media/padded_stims/inanimate_006_right.png,inanimate_pair_right,inanimate_pair_right,identity,6,6,5,inanimate,pair,right,deviant
SS1682423635430,4837,deviant_block,media/padded_stims/inanimate_009_left.png,media/padded_stims/inanimate_003_left.png,inanimate_pair_left,inanimate_pair_left,identity,2,1,6,inanimate,pair,left,background
SS1682423635430,5993,deviant_block,media/padded_stims/inanimate_009_left.png,media/padded_stims/inanimate_003_left.png,inanimate_pair_left,inanimate_pair_left,identity,2,2,6,inanimate,pair,left,deviant
SS1682423635430,11042,background_block,media/padded_stims/animate_003_right.png,null,animate_single_right,null,null,4,1,7,animate,single,right,background
SS1682423635430,8694,background_block,media/padded_stims/animate_003_right.png,null,animate_single_right,null,null,4,2,7,animate,single,right,background
SS1682423635430,5372,background_block,media/padded_stims/animate_003_right.png,null,animate_single_right,null,null,4,3,7,animate,single,right,background
SS1682423635430,4419,background_block,media/padded_stims/animate_003_right.png,null,animate_single_right,null,null,4,4,7,animate,single,right,background
SS1682423635430,5200,background_block,media/padded_stims/animate_003_left.png,null,animate_pair_left,null,null,6,1,8,animate,pair,left,background
SS1682423635430,6165,background_block,media/padded_stims/animate_003_left.png,null,animate_pair_left,null,null,6,2,8,animate,pair,left,background
SS1682423635430,5169,background_block,media/padded_stims/animate_003_left.png,null,animate_pair_left,null,null,6,3,8,animate,pair,left,background
SS1682423635430,6891,background_block,media/padded_stims/animate_003_left.png,null,animate_pair_left,null,null,6,4,8,animate,pair,left,background
SS1682423635430,4625,background_block,media/padded_stims/animate_003_left.png,null,animate_pair_left,null,null,6,5,8,animate,pair,left,background
SS1682423635430,6727,background_block,media/padded_stims/animate_003_left.png,null,animate_pair_left,null,null,6,6,8,animate,pair,left,background
SS1682423635430,4538,background_block,media/padded_stims/inanimate_006_left.png,null,inanimate_single_left,null,null,6,1,9,inanimate,single,left,background
SS1682423635430,5551,background_block,media/padded_stims/inanimate_006_left.png,null,inanimate_single_left,null,null,6,2,9,inanimate,single,left,background
SS1682423635430,4026,background_block,media/padded_stims/inanimate_006_left.png,null,inanimate_single_left,null,null,6,3,9,inanimate,single,left,background
SS1682423635430,3719,background_block,media/padded_stims/inanimate_006_left.png,null,inanimate_single_left,null,null,6,4,9,inanimate,single,left,background
SS1682423635430,4190,background_block,media/padded_stims/inanimate_006_left.png,null,inanimate_single_left,null,null,6,5,9,inanimate,single,left,background
SS1682423635430,2647,background_block,media/padded_stims/inanimate_006_left.png,null,inanimate_single_left,null,null,6,6,9,inanimate,single,left,background
SS1682423635430,4318,deviant_block,media/padded_stims/animate_006_right.png,media/padded_stims/animate_011_right.png,animate_single_right,animate_single_right,identity,2,1,10,animate,single,right,background
SS1682423635430,5622,deviant_block,media/padded_stims/animate_006_right.png,media/padded_stims/animate_011_right.png,animate_single_right,animate_single_right,identity,2,2,10,animate,single,right,deviant
SS1682423635430,2663,deviant_block,media/padded_stims/animate_002_left.png,media/padded_stims/animate_011_left.png,animate_single_left,animate_pair_left,number,2,1,11,animate,single,left,background
SS1682423635430,3667,deviant_block,media/padded_stims/animate_002_left.png,media/padded_stims/animate_011_left.png,animate_single_left,animate_pair_left,number,2,2,11,animate,single,left,deviant
SS1682423635430,4004,background_block,media/padded_stims/animate_006_left.png,null,animate_single_left,null,null,6,1,12,animate,single,left,background
SS1682423635430,1951,background_block,media/padded_stims/animate_006_left.png,null,animate_single_left,null,null,6,2,12,animate,single,left,background
SS1682423635430,2184,background_block,media/padded_stims/animate_006_left.png,null,animate_single_left,null,null,6,3,12,animate,single,left,background
SS1682423635430,2352,background_block,media/padded_stims/animate_006_left.png,null,animate_single_left,null,null,6,4,12,animate,single,left,background
