stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,batch_id,stim_sequence
58,13,6,4,3,3,-0.3616738377581209,-0.7441513342183574,2.0,1.0,1.0,1.0,1e-06,17,BBBBBB
17,2,1,0,1,0,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,12,BBBBBB
22,2,2,2,2,2,-1.369208981555781,-2.5123492940806536,-4.0,1.0,1.0,1.0,1e-06,15,BBBBBB
76,4,3,3,3,3,-0.3616738377581209,-0.7441513342183574,2.0,1.0,1.0,1.0,1e-06,18,BBBBBB
13,0,0,0,0,0,-1.369208981555781,-2.5123492940806536,-4.0,1.0,1.0,1.0,1e-06,16,BBBBBB
95,13,12,12,11,11,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,13,BBBBBB
42,4,4,3,3,3,-0.3616738377581209,-0.7441513342183574,2.0,1.0,1.0,1.0,1e-06,19,BBBBBB
5,0,0,0,0,0,-1.369208981555781,-2.5123492940806536,-4.0,1.0,1.0,1.0,1e-06,17,BBBBBB
37,2,2,2,2,2,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,14,BBBBBB
125,19,9,6,4,3,-1.369208981555781,-2.5123492940806536,-4.0,1.0,1.0,1.0,1e-06,18,BBBBBB
90,149,4,5,7,182,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,0,BDBBBB
56,3,2,2,2,2,-1.369208981555781,-2.5123492940806536,-4.0,1.0,1.0,1.0,1e-06,19,BBBBBB
61,5,5,4,4,3,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,15,BBBBBB
13,11,28,1,0,0,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,1,BDBBBB
90,26,6,6,6,6,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,0,BDBBBB
96,12,9,8,7,7,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,16,BBBBBB
55,12,8,6,5,5,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,17,BBBBBB
73,1,7,4,3,3,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,1,BDBBBB
100,0,0,0,0,0,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,2,BDBBBB
63,3,3,2,2,2,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,18,BBBBBB
69,2,1,2,1,1,-2.2481374206752207,2.403137490278757,-1.0,1.0,1.0,1.0,1e-06,19,BBBBBB
44,0,3,2,1,1,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,2,BDBBBB
133,2,0,0,0,0,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,3,BDBBBB
29,1,1,1,1,1,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,3,BDBBBB
97,48,0,0,0,0,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,4,BDBBBB
20,40,4,4,3,3,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,4,BDBBBB
26,7,1,1,1,1,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,0,BDBBBB
32,0,55,0,0,0,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,1,BDBBBB
29,3,0,0,0,0,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,5,BDBBBB
35,5,2,2,2,2,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,5,BDBBBB
19,37,38,0,0,1,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,6,BDBBBB
35,58,86,3,2,2,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,6,BDBBBB
57,75,1,1,1,1,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,2,BDBBBB
84,48,0,1,1,0,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,7,BDBBBB
109,106,26,260,2,2,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,7,BDBBBB
95,29,1,1,1,1,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,8,BDBBBB
17,19,28,1,1,1,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,8,BDBBBB
57,69,7,76,9,8,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,3,BDBBBB
41,9,3,3,3,2,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,9,BDBBBB
24,4,3,3,3,3,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,4,BDBBBB
36,0,2,1,1,1,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,9,BDBBBB
16,0,0,0,0,0,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,10,BDBBBB
15,9,33,0,0,0,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,11,BDBBBB
20,144,258,3,2,2,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,5,BDBBBB
162,32,2,3,3,2,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,10,BDBBBB
20,2,2,2,2,2,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,12,BDBBBB
75,0,19,8,6,4,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,6,BDBBBB
57,10,4,3,3,3,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,13,BDBBBB
8,0,0,0,0,0,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,11,BDBBBB
37,55,3,3,3,3,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,7,BDBBBB
60,6,5,4,4,3,-1.3462143736821115,-1.4322482230797997,-4.0,1.0,1.0,1.0,1e-06,14,BDBBBB
28,0,4,4,3,3,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,12,BDBBBB
80,7,1,1,1,2,2.7925623214232425,-1.5118260258953131,2.0,1.0,1.0,1.0,1e-06,13,BDBBBB
23,4,0,0,0,0,2.727732444444221,2.035035942666752,-1.0,1.0,1.0,1.0,1e-06,8,BDBBBB
