trialNum, NumTeachers, target, IG, sortedStudents, scoreAboveBaseline
0,1,0.5,469.9084582553375,unsorted,0
0,1,0.5,469.90845825533734,sorted,0
0,2,0.5,469.9084582553374,unsorted,0
0,2,0.5,512.1706430891772,sorted,0
0,3,0.5,469.90845825533745,unsorted,0
0,3,0.5,506.027520539441,sorted,0
0,5,0.5,470.7635363030437,unsorted,0
0,5,0.5,509.9448310549891,sorted,0
0,10,0.5,480.61883825362577,unsorted,0
0,10,0.5,512.1706430891774,sorted,0
0,1,0.6,489.90845825533705,unsorted,0
0,1,0.6,489.90845825533694,sorted,0
0,2,0.6,489.90845825533756,unsorted,0
0,2,0.6,509.67064308917736,sorted,0
0,3,0.6,489.9084582553377,unsorted,0
0,3,0.6,511.1775205394411,sorted,0
0,5,0.6,489.9084582553375,unsorted,0
0,5,0.6,511.94483105498915,sorted,0
0,10,0.6,491.49750313078425,unsorted,0
0,10,0.6,511.9448310549892,sorted,0
0,1,0.7,506.57512492200476,unsorted,0
0,1,0.7,506.5751249220043,sorted,0
0,2,0.7,506.5751249220044,unsorted,0
0,2,0.7,506.5751249220043,sorted,0
0,3,0.7,506.5751249220043,unsorted,0
0,3,0.7,511.34418720610824,sorted,0
0,5,0.7,506.5751249220042,unsorted,0
0,5,0.7,513.4706877074134,sorted,0
0,10,0.7,506.5751249220042,unsorted,0
0,10,0.7,513.4706877074133,sorted,0
0,1,0.8,520.8608392077186,unsorted,0
0,1,0.8,520.8608392077185,sorted,0
0,2,0.8,520.8608392077185,unsorted,0
0,2,0.8,520.8608392077183,sorted,0
0,3,0.8,520.8608392077184,unsorted,0
0,3,0.8,520.8608392077183,sorted,0
0,5,0.8,520.8608392077184,unsorted,0
0,5,0.8,520.8608392077184,sorted,0
0,10,0.8,520.8608392077185,unsorted,0
0,10,0.8,520.8608392077185,sorted,0
0,1,0.9,533.3608392077181,unsorted,0
0,1,0.9,533.3608392077176,sorted,0
0,2,0.9,533.3608392077183,unsorted,0
0,2,0.9,533.3608392077182,sorted,0
0,3,0.9,533.3608392077184,unsorted,0
0,3,0.9,533.3608392077183,sorted,0
0,5,0.9,533.3608392077184,unsorted,0
0,5,0.9,533.3608392077183,sorted,0
0,10,0.9,533.3608392077183,unsorted,0
0,10,0.9,533.3608392077185,sorted,0
1,1,0.5,480.15193186379463,unsorted,0
1,1,0.5,480.15193186379463,sorted,0
1,2,0.5,480.1519318637945,unsorted,0
1,2,0.5,511.35174470331174,sorted,0
1,3,0.5,480.1519318637945,unsorted,0
1,3,0.5,512.2760036048348,sorted,0
1,5,0.5,480.1645829813482,unsorted,0
1,5,0.5,513.5522545023928,sorted,0
1,10,0.5,482.5474549524479,unsorted,0
1,10,0.5,513.5522545023928,sorted,0
1,1,0.6,500.1519318637942,unsorted,0
1,1,0.6,500.1519318637941,sorted,0
1,2,0.6,500.15193186379474,unsorted,0
1,2,0.6,508.85174470331197,sorted,0
1,3,0.6,500.15193186379474,unsorted,0
1,3,0.6,517.4260036048349,sorted,0
1,5,0.6,500.1519318637947,unsorted,0
1,5,0.6,516.0009983616746,sorted,0
1,10,0.6,500.15193186379463,unsorted,0
1,10,0.6,517.0971562410289,sorted,0
1,1,0.7,516.8185985304618,unsorted,0
1,1,0.7,516.8185985304615,sorted,0
1,2,0.7,516.8185985304615,unsorted,0
1,2,0.7,516.8185985304614,sorted,0
1,3,0.7,516.8185985304615,unsorted,0
1,3,0.7,517.5926702715021,sorted,0
1,5,0.7,516.8185985304614,unsorted,0
1,5,0.7,522.6676650283415,sorted,0
1,10,0.7,516.8185985304614,unsorted,0
1,10,0.7,522.6676650283414,sorted,0
1,1,0.8,531.1043128161755,unsorted,0
1,1,0.8,531.1043128161757,sorted,0
1,2,0.8,531.1043128161757,unsorted,0
1,2,0.8,531.1043128161755,sorted,0
1,3,0.8,531.1043128161756,unsorted,0
1,3,0.8,531.1043128161755,sorted,0
1,5,0.8,531.1043128161756,unsorted,0
1,5,0.8,531.1043128161756,sorted,0
1,10,0.8,531.1043128161756,unsorted,0
1,10,0.8,531.1043128161756,sorted,0
1,1,0.9,543.604312816175,unsorted,0
1,1,0.9,543.6043128161743,sorted,0
1,2,0.9,543.6043128161755,unsorted,0
1,2,0.9,543.6043128161753,sorted,0
1,3,0.9,543.6043128161755,unsorted,0
1,3,0.9,543.6043128161755,sorted,0
1,5,0.9,543.6043128161756,unsorted,0
1,5,0.9,543.6043128161756,sorted,0
1,10,0.9,543.6043128161756,unsorted,0
1,10,0.9,543.6043128161756,sorted,0
2,1,0.5,473.18296390064455,unsorted,0
2,1,0.5,473.1829639006445,sorted,0
2,2,0.5,473.1829639006444,unsorted,0
2,2,0.5,510.9040598745238,sorted,0
2,3,0.5,473.18296390064444,unsorted,0
2,3,0.5,506.67271071560197,sorted,0
2,5,0.5,473.18296390064444,unsorted,0
2,5,0.5,509.08084430658425,sorted,0
2,10,0.5,474.1875096802735,unsorted,0
2,10,0.5,510.9040598745238,sorted,0
2,1,0.6,493.18296390064415,unsorted,0
2,1,0.6,493.1829639006438,sorted,0
2,2,0.6,493.1829639006445,unsorted,0
2,2,0.6,508.4040598745239,sorted,0
2,3,0.6,493.18296390064467,unsorted,0
2,3,0.6,511.8227107156021,sorted,0
2,5,0.6,493.1829639006445,unsorted,0
2,5,0.6,511.0808443065843,sorted,0
2,10,0.6,493.1829639006446,unsorted,0
2,10,0.6,511.493863351796,sorted,0
2,1,0.7,509.84963056731175,unsorted,0
2,1,0.7,509.84963056731146,sorted,0
2,2,0.7,509.8496305673114,unsorted,0
2,2,0.7,509.84963056731146,sorted,0
2,3,0.7,509.84963056731135,unsorted,0
2,3,0.7,511.98937738226914,sorted,0
2,5,0.7,509.8496305673113,unsorted,0
2,5,0.7,516.2219452089558,sorted,0
2,10,0.7,509.8496305673111,unsorted,0
2,10,0.7,516.2219452089557,sorted,0
2,1,0.8,524.135344853025,unsorted,0
2,1,0.8,524.1353448530252,sorted,0
2,2,0.8,524.1353448530256,unsorted,0
2,2,0.8,524.1353448530253,sorted,0
2,3,0.8,524.1353448530256,unsorted,0
2,3,0.8,524.1353448530253,sorted,0
2,5,0.8,524.1353448530256,unsorted,0
2,5,0.8,524.1353448530256,sorted,0
2,10,0.8,524.1353448530256,unsorted,0
2,10,0.8,524.1353448530255,sorted,0
2,1,0.9,536.6353448530249,unsorted,0
2,1,0.9,536.6353448530245,sorted,0
2,2,0.9,536.6353448530255,unsorted,0
2,2,0.9,536.6353448530253,sorted,0
2,3,0.9,536.6353448530255,unsorted,0
2,3,0.9,536.6353448530253,sorted,0
2,5,0.9,536.6353448530255,unsorted,0
2,5,0.9,536.6353448530253,sorted,0
2,10,0.9,536.6353448530255,unsorted,0
2,10,0.9,536.6353448530255,sorted,0
3,1,0.5,469.78622086933166,unsorted,0
3,1,0.5,469.7862208693316,sorted,0
3,2,0.5,469.7862208693316,unsorted,0
3,2,0.5,513.3302394644584,sorted,0
3,3,0.5,469.7862208693317,unsorted,0
3,3,0.5,507.57706226341713,sorted,0
3,5,0.5,471.4599687053484,unsorted,0
3,5,0.5,511.49437277896516,sorted,0
3,10,0.5,472.62311951515403,unsorted,0
3,10,0.5,513.3302394644584,sorted,0
3,1,0.6,489.78622086933126,unsorted,0
3,1,0.6,489.7862208693311,sorted,0
3,2,0.6,489.78622086933177,unsorted,0
3,2,0.6,510.8302394644584,sorted,0
3,3,0.6,489.78622086933177,unsorted,0
3,3,0.6,512.7270622634172,sorted,0
3,5,0.6,489.7862208693317,unsorted,0
3,5,0.6,513.4943727789653,sorted,0
3,10,0.6,489.7862208693317,unsorted,0
3,10,0.6,513.4943727789654,sorted,0
3,1,0.7,506.45288753599897,unsorted,0
3,1,0.7,506.4528875359985,sorted,0
3,2,0.7,506.4528875359987,unsorted,0
3,2,0.7,506.45288753599857,sorted,0
3,3,0.7,506.4528875359985,unsorted,0
3,3,0.7,512.8937289300843,sorted,0
3,5,0.7,506.4528875359984,unsorted,0
3,5,0.7,515.4414428964658,sorted,0
3,10,0.7,506.45288753599846,unsorted,0
3,10,0.7,515.4414428964657,sorted,0
3,1,0.8,520.7386018217128,unsorted,0
3,1,0.8,520.7386018217129,sorted,0
3,2,0.8,520.7386018217128,unsorted,0
3,2,0.8,520.7386018217126,sorted,0
3,3,0.8,520.7386018217127,unsorted,0
3,3,0.8,520.7386018217127,sorted,0
3,5,0.8,520.7386018217128,unsorted,0
3,5,0.8,520.7386018217127,sorted,0
3,10,0.8,520.7386018217128,unsorted,0
