trialNum, NumAssessments, target, IG, noisyStudents, scoreAboveBaseline
0,0,0.5,2378.69668138784,true,0
0,0,0.5,2355.537917117891,noisy,0
0,1,0.5,2378.69668138784,true,0
0,1,0.5,2363.033150586391,noisy,0
0,2,0.5,2378.69668138784,true,0
0,2,0.5,2364.0965307971524,noisy,0
0,3,0.5,2378.69668138784,true,0
0,3,0.5,2372.515269885235,noisy,0
0,4,0.5,2378.69668138784,true,0
0,4,0.5,2375.472444243913,noisy,0
0,0,0.6,2393.4981707794864,true,0
0,0,0.6,2377.4518639310395,noisy,0
0,1,0.6,2393.4981707794864,true,0
0,1,0.6,2374.534768233117,noisy,0
0,2,0.6,2393.4981707794864,true,0
0,2,0.6,2383.5130422262387,noisy,0
0,3,0.6,2393.4981707794864,true,0
0,3,0.6,2387.117180451897,noisy,0
0,4,0.6,2393.4981707794864,true,0
0,4,0.6,2390.830107065794,noisy,0
0,0,0.7,2427.8804445726964,true,0
0,0,0.7,2413.6776431961407,noisy,0
0,1,0.7,2427.8804445726964,true,0
0,1,0.7,2416.110763765268,noisy,0
0,2,0.7,2427.8804445726964,true,0
0,2,0.7,2417.9857121103323,noisy,0
0,3,0.7,2427.8804445726964,true,0
0,3,0.7,2419.117905615764,noisy,0
0,4,0.7,2427.8804445726964,true,0
0,4,0.7,2422.841006758906,noisy,0
0,0,0.8,2478.448781139189,true,0
0,0,0.8,2475.659330798745,noisy,0
0,1,0.8,2478.448781139189,true,0
0,1,0.8,2471.3791861936934,noisy,0
0,2,0.8,2478.448781139189,true,0
0,2,0.8,2474.300839529835,noisy,0
0,3,0.8,2478.448781139189,true,0
0,3,0.8,2477.103072058185,noisy,0
0,4,0.8,2478.448781139189,true,0
0,4,0.8,2475.037444240813,noisy,0
0,0,0.9,2538.159330798745,true,0
0,0,0.9,2538.159330798745,noisy,0
0,1,0.9,2538.159330798745,true,0
0,1,0.9,2538.159330798745,noisy,0
0,2,0.9,2538.159330798745,true,0
0,2,0.9,2538.159330798745,noisy,0
0,3,0.9,2538.159330798745,true,0
0,3,0.9,2538.159330798745,noisy,0
0,4,0.9,2538.159330798745,true,0
