,inanimate_008_right.png,inanimate_004_left.png,inanimate_005_left.png,inanimate_005_right.png,animate_005_left.png,animate_004_left.png,inanimate_011_right.png,animate_012_right.png,animate_006_right.png,inanimate_012_left.png,inanimate_003_right.png,animate_012_left.png,animate_001_right.png,inanimate_009_right.png,inanimate_010_right.png,inanimate_004_right.png,animate_007_right.png,inanimate_003_left.png,inanimate_002_left.png,animate_008_left.png,animate_009_left.png,inanimate_002_right.png,animate_002_left.png,animate_003_left.png,inanimate_009_left.png,inanimate_008_left.png,animate_002_right.png,animate_011_left.png,animate_010_left.png,inanimate_007_right.png,inanimate_010_left.png,inanimate_011_left.png,animate_010_right.png,animate_006_left.png,animate_007_left.png,animate_004_right.png,inanimate_001_right.png,animate_009_right.png,inanimate_007_left.png,inanimate_006_left.png,animate_003_right.png,animate_001_left.png,inanimate_012_right.png,inanimate_006_right.png,inanimate_001_left.png,animate_005_right.png,animate_011_right.png,animate_008_right.png
inanimate_008_right.png,0.0,0.7933384497173072,1.270411230051595,0.9357484312433627,2.89227760032857,3.2622230942569264,2.2326886512261073,3.4694755554782515,2.5772383467013573,1.301426582308988,1.6871896937450581,3.2070395809548913,2.9368866368760704,0.9740163406518914,0.5091345859827966,0.7192657047837512,2.607329696978973,1.4881672137958992,1.8627734403411171,2.858019485328961,2.6342662652199467,1.7479467920511822,1.8828112092330365,3.083157747624412,1.0113638773215092,0.2551425697363464,2.131055498357097,2.7166982201517476,3.048491217451582,1.4585180145903704,0.6396457955308791,2.6479797789942987,2.911270074393419,2.4759631901541637,2.598966043032553,3.3727292746472597,1.116203486517691,2.730792158659982,1.6680896826026599,2.4676347341256277,3.325329988655645,3.1307974465745163,1.426837218607645,2.6554402772102477,0.9468614430146722,2.3697911297312073,2.599094221142946,2.9468296638332063
inanimate_004_left.png,0.7933384497173072,0.0,1.065641749519042,0.6769388315445319,2.2336685260317934,2.8071086263684615,2.1275131880824034,2.743013740404199,2.18064277437588,0.5492439211691834,1.0718666691341958,2.499283062640756,2.2766893060193283,0.7915100393488094,1.0688848434721145,0.21819993141365276,2.2042657560787986,0.8434594291191106,1.2509987889213188,2.185442927788194,2.122242090248794,1.0889339451186921,1.2035506111779821,2.757804263659332,0.8270914737377945,0.6201522375262382,1.3654184512421115,2.413051474111901,2.562262218555132,1.2864415053024172,1.2479915871542206,2.5031237339473114,2.4206296827452767,1.886028238982918,2.2820799773640097,2.943282529960192,0.6510118096640307,2.106865732814345,1.5950033435704334,2.662851779320663,2.9309629286949996,2.5908309510899725,0.633695457675386,2.8847553371451182,0.6283994232533932,1.6506182923124864,2.291025580564581,2.3073751808026657
inanimate_005_left.png,1.270411230051595,1.065641749519042,0.0,0.4855202873872951,1.8763755535640068,2.441570628407959,1.649223821416768,2.550529023605238,1.5071868915163356,1.4018601649179194,0.8791891578129678,2.255067233807162,1.96117763066268,0.5458050507660412,1.0729611525520635,1.2515101979236078,1.9417032662841183,0.8044538084775872,2.1650631286858317,1.8839406163451895,2.028796806024694,1.9915865804299133,1.1047155995397822,2.442163540134078,1.0230133358610394,1.07009766432297,1.5963052379204419,1.9758505968721103,2.277076816515633,0.3725993725876823,1.3017500159287763,1.9371721046903292,2.1465320467369895,1.5238791657185664,2.0748875114849836,2.507754324594641,1.650480835622529,2.0720724769803147,0.5445490717201211,1.6788074380227271,2.599283095989295,1.9502064860337711,1.2787535658319498,1.9126977128735612,1.5637321438996676,1.6362773633821475,1.63982775496384,2.094605247443016
inanimate_005_right.png,0.9357484312433627,0.6769388315445319,0.4855202873872951,0.0,2.0733359565298968,2.7495972928100665,1.5910368617703468,2.654444035401967,1.9025108584528723,1.0363764586979307,0.9759507311670012,2.3766913614753444,2.164291454521442,0.5898405632565249,0.8402500372555319,0.8567350505141814,2.2054503892957813,0.7874325876899317,1.7731844079856351,2.0648354251078485,2.218578298010463,1.617943864961598,1.1639870821991833,2.740919340142568,0.9847604767033928,0.7584559264244845,1.5442420586505816,2.311083127953891,2.5493645527130533,0.6235645935681272,1.037762298685836,1.9487691935885338,2.4112226655326485,1.7669624201825067,2.3224656088644524,2.843773034311392,1.200337356081673,2.2183018666020535,0.9557436969406198,2.0547462614413634,2.903817361554586,2.2742701582050593,1.0039233358825401,2.2705169780218415,1.0913862739303035,1.704919195311283,2.0429856433729108,2.295780846888342
animate_005_left.png,2.89227760032857,2.2336685260317934,1.8763755535640068,2.0733359565298968,0.0,1.6753182662660715,2.6488394031120333,0.8253192121731314,1.2344110614139765,2.071733992548921,1.2210914383623013,0.5598949292993486,0.25936905333187205,2.0529247323068094,2.8826444822742046,2.4261236153517003,1.7045291176299389,1.4124080095016223,2.529414224412352,0.13749751850372302,1.5393744552138724,2.3618039492352407,1.0403331060858485,2.1707564859175332,2.2197367568975452,2.653601184925492,1.1419094294454104,1.9041154070163164,1.5347066539419483,1.935687666273149,3.1044166126369754,2.6971040352459696,1.4622378312298618,0.6978446579575014,2.0660597727925247,1.7576004901854554,2.5842448083258285,1.2000313335054036,2.0270114742554806,2.9683222095089827,2.03209289088234,0.690270378431858,1.7830809710964683,3.1961664326401666,2.6700331039199616,0.7829525253329171,1.6176160076259478,0.7944815732798322
animate_004_left.png,3.2622230942569264,2.8071086263684615,2.441570628407959,2.7495972928100665,1.6753182662660715,0.0,3.818606806369162,2.3090879349759046,1.096022217652827,2.858881939669505,1.8998514351155649,2.153746297955111,1.45560948853703,2.3489849394253546,3.3035423170392177,2.938896949809973,0.7073237174071892,2.128140716515095,3.4003632789499783,1.6190206974312853,0.8300755576931138,3.198239703043269,1.894464021351166,0.6659902516731881,2.279120156603836,3.012261583307079,2.0245933392545084,0.7692595997947248,0.29369868282096967,2.6795704073500746,3.5843782347219855,3.9347247050800798,0.4160918599470882,1.217922709322817,0.942996689102155,0.21811745410752434,3.3129483194880365,1.0489820047012512,2.574002590629512,3.131176244898645,0.3791393192214572,1.6367161833929247,2.5720701970006306,3.3647031082564878,3.3983943796154055,1.6832753364357902,1.013850916562775,1.037831511222718
inanimate_011_right.png,2.2326886512261073,2.1275131880824034,1.649223821416768,1.5910368617703468,2.6488394031120333,3.818606806369162,0.0,2.9791627500348494,2.7851239676437363,2.225341511395702,2.170758340714943,2.739114518039836,2.861233542174572,2.111473368746968,1.9051633955445566,2.2809219533796785,3.4650131721150683,2.056342514508519,2.701474944283679,2.714436991278031,3.489271679116856,2.6298295086326706,2.2401962313260593,3.9734538457084567,2.5631701963205455,2.189808375799931,2.596275183545708,3.49466100262622,3.674619696478282,1.2991888096777575,1.8729363700417794,0.4382286276016179,3.55400145880662,2.715828814036687,3.6640352245673253,3.8614164461592524,2.3098785212068447,3.3743013225112657,1.5223562321192288,2.2063762060312633,4.05731346768278,2.665827187392455,2.2306303707806614,2.3009302645312886,2.1621690956391117,2.683451936762653,3.0387439276849153,3.2374130359341686
animate_012_right.png,3.4694755554782515,2.743013740404199,2.550529023605238,2.654444035401967,0.8253192121731314,2.3090879349759046,2.9791627500348494,0.0,2.049298612095825,2.439000163709335,1.8785158755069897,0.3027132255944972,0.9284493878046237,2.740023169582922,3.4927029998225603,2.922263570535141,2.4274068940932683,2.013626994821295,2.6848806478188254,0.8435820908959353,2.175052500940779,2.5634709476908375,1.6444453781189083,2.8676631656487257,2.8953206496183843,3.248525510638792,1.5219213683294854,2.6720470369498153,2.174100396413718,2.557335495000968,3.684676356164453,2.9713910494921003,2.1241784152505763,1.4814685440717836,2.787728381099728,2.398703997526726,2.9353137265045603,1.7345062378563623,2.715188238348322,3.6875444168199634,2.6745155820193975,1.2907341635571175,2.1898767546374103,3.9017679149369084,3.0514967874715597,1.2911462668206923,2.427740523659724,1.352099292757141
animate_006_right.png,2.5772383467013573,2.18064277437588,1.5071868915163356,1.9025108584528723,1.2344110614139765,1.096022217652827,2.7851239676437363,2.049298612095825,0.0,2.314614969539816,1.213566791632718,1.7901343691842733,1.1690561853818835,1.6032294791276702,2.4894908986771336,2.357309372199634,0.9749532494311961,1.437636421551863,2.9889031341419448,1.241761570482185,1.1838333162804375,2.7850974547189953,1.2841865228826412,1.3236820259165638,1.7489418547724567,2.3315882584124905,1.6768682580482122,0.8908795776161069,1.0539359642426749,1.6751468021231661,2.7526148600157527,2.889595555452846,0.9787956617751311,0.7404896448602254,1.257594926908641,1.0952129255112233,2.753111883408292,1.2917032530757484,1.528079404673279,2.147769365282959,1.3284200191099278,1.019940125986188,2.0374669497357174,2.386837572057418,2.7763805002055277,1.3621140728596584,0.40972674192162684,1.131994720511048
inanimate_012_left.png,1.301426582308988,0.5492439211691834,1.4018601649179194,1.0363764586979307,2.071733992548921,2.858881939669505,2.225341511395702,2.439000163709335,2.314614969539816,0.0,1.107629805973003,2.2323299055508947,2.1227789935778087,1.2310040078735651,1.5749745408391003,0.6176496170950191,2.324536384875937,0.8916691202980379,0.7737975150439028,2.012212820402591,2.1412188721245755,0.5934104971131942,1.116745051957262,2.908976784046801,1.2449635095880798,1.1611884088506244,1.0780126449847747,2.604444253759296,2.593439208634744,1.5657865803479705,1.7179574004002063,2.5682168223547275,2.4547537438878995,1.853521029262385,2.4557564198622543,3.0145674463084515,0.5205623468097329,2.006582665880867,1.9209139754648619,3.0682720962495864,3.0247435836562606,2.546580191447006,0.3042766197914799,3.2933564581050208,0.6667044990050522,1.4479089832815917,2.489830701667006,2.1879178403431427
