epsilon,mu_prior,v_prior,beta_prior,alpha_prior,stim_sequence,forced_exposure_max,fam_duration_GRANCH,test_type_GRANCH,param_info,intercept,slope,n_samples.x,test_type_nolearning,fam_duration_nolearning,n_samples.y,test_type,fam_duration,value_type,value
1e-5,0,2,15,5,BBBBBBD,5,6,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.999,nov,6,1.3675,Novel,6,RANCH (infants),17.597584507981125
1e-5,0,2,15,5,BBBBBBD,5,6,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.999,nov,6,1.3675,Novel,6,No Learning,17.56989679863537
1e-5,0,2,15,5,BBBBBBD,5,6,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.999,nov,6,1.3675,Novel,6,No Noise,16.73193074508464
1e-5,0,2,15,5,BBBBBBD,5,6,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,1.999,nov,6,1.3675,Novel,6,Infant behavior,17.708
1e-5,0,2,15,5,BBBBD,5,4,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.017,nov,4,1.392,Novel,4,RANCH (infants),17.702940712954558
1e-5,0,2,15,5,BBBBD,5,4,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.017,nov,4,1.392,Novel,4,No Learning,17.41707794137701
1e-5,0,2,15,5,BBBBD,5,4,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.017,nov,4,1.392,Novel,4,No Noise,17.209638638557095
1e-5,0,2,15,5,BBBBD,5,4,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.017,nov,4,1.392,Novel,4,Infant behavior,15.46834
1e-5,0,2,15,5,BBBD,5,3,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.0305,nov,3,1.443,Novel,3,RANCH (infants),18.833705562576682
1e-5,0,2,15,5,BBBD,5,3,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.0305,nov,3,1.443,Novel,3,No Learning,17.302463798433234
1e-5,0,2,15,5,BBBD,5,3,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.0305,nov,3,1.443,Novel,3,No Noise,18.204050988234464
1e-5,0,2,15,5,BBBD,5,3,nov,mu_0_v_2_a_5_b_15_ep_1e-05_expos_5,10.678634699484572,0.4108762022920249,2.0305,nov,3,1.443,Novel,3,Infant behavior,19.483730769230768
