subject,trial_number,trial_type,stimuli_sequence,complexity,trial_looking_time
SS1630945851097,5,background,BBBDBB,simple,948.100000023842
SS1630945851097,6,background,BBBDBB,simple,555
SS1630948678486,3,background,BBBDBB,complex,647
SS1630948678486,4,deviant,BBBDBB,complex,501
SS1630948678486,5,background,BBBDBB,complex,831
SS1630948678486,6,background,BBBDBB,complex,1356
SS1630948678486,1,background,BDBBBB,simple,4433
SS1630948678486,2,deviant,BDBBBB,simple,1140
SS1630948678486,3,background,BDBBBB,simple,729
SS1630948678486,4,background,BDBBBB,simple,777
SS1630948678486,5,background,BDBBBB,simple,988
SS1630948678486,6,background,BDBBBB,simple,2118
SS1630948678486,1,background,BDBBBB,complex,2507
SS1630948678486,2,deviant,BDBBBB,complex,905
SS1630948678486,3,background,BDBBBB,complex,1224
SS1630948678486,4,background,BDBBBB,complex,922
SS1630948678486,5,background,BDBBBB,complex,1559
SS1630948678486,6,background,BDBBBB,complex,594
SS1630948678486,1,background,BBBBBB,complex,27539
SS1630948678486,2,background,BBBBBB,complex,2986
SS1630948678486,3,background,BBBBBB,complex,1658
SS1630948678486,4,background,BBBBBB,complex,1788
SS1630948678486,5,background,BBBBBB,complex,574
SS1630948678486,6,background,BBBBBB,complex,1547
SS1630948678486,1,background,BBBDBB,simple,4281
SS1630948678486,2,background,BBBDBB,simple,729
SS1630948678486,3,background,BBBDBB,simple,1857
SS1630948678486,4,deviant,BBBDBB,simple,967
SS1630948678486,5,background,BBBDBB,simple,1078
SS1630948678486,6,background,BBBDBB,simple,924
SS1630948678486,1,background,BBBBBD,complex,15847
SS1630948678486,2,background,BBBBBD,complex,4537
SS1630948678486,3,background,BBBBBD,complex,600
SS1630948678486,4,background,BBBBBD,complex,671
SS1630948678486,5,background,BBBBBD,complex,30994
SS1630948678486,6,deviant,BBBBBD,complex,538
SS1630948678486,1,background,BBBBBD,simple,1567
SS1630948678486,2,background,BBBBBD,simple,1017
SS1630948678486,3,background,BBBBBD,simple,584
SS1630948678486,4,background,BBBBBD,simple,530
SS1630948678486,5,background,BBBBBD,simple,1273
SS1630948678486,6,deviant,BBBBBD,simple,1111
SS1630948678486,1,background,BBBBBB,simple,640
SS1630948678486,2,background,BBBBBB,simple,885
SS1630948678486,3,background,BBBBBB,simple,1653
SS1630948678486,4,background,BBBBBB,simple,738
SS1630948678486,5,background,BBBBBB,simple,843
SS1630948678486,6,background,BBBBBB,simple,779
SS1630948818400,1,background,BBBDBB,simple,1621
SS1630948818400,2,background,BBBDBB,simple,528
SS1630948818400,3,background,BBBDBB,simple,1165
SS1630948818400,4,deviant,BBBDBB,simple,1007
SS1630948818400,5,background,BBBDBB,simple,806
SS1630948818400,6,background,BBBDBB,simple,763
SS1630948818400,1,background,BBBBBD,simple,877
SS1630948818400,2,background,BBBBBD,simple,829
SS1630948818400,3,background,BBBBBD,simple,864
SS1630948818400,4,background,BBBBBD,simple,896
SS1630948818400,5,background,BBBBBD,simple,529
SS1630948818400,6,deviant,BBBBBD,simple,862
SS1630948818400,1,background,BBBBBB,simple,857
SS1630948818400,2,background,BBBBBB,simple,986
SS1630948818400,3,background,BBBBBB,simple,863
SS1630948818400,4,background,BBBBBB,simple,776
SS1630948818400,5,background,BBBBBB,simple,739
SS1630948818400,6,background,BBBBBB,simple,752
SS1630948818400,1,background,BBBBBB,complex,844
SS1630948818400,2,background,BBBBBB,complex,723
SS1630948818400,3,background,BBBBBB,complex,1025
SS1630948818400,4,background,BBBBBB,complex,566
SS1630948818400,5,background,BBBBBB,complex,1159
SS1630948818400,6,background,BBBBBB,complex,895
SS1630948818400,1,background,BBBBBD,complex,643
SS1630948818400,2,background,BBBBBD,complex,1605
SS1630948818400,3,background,BBBBBD,complex,611
SS1630948818400,4,background,BBBBBD,complex,1487
SS1630948818400,5,background,BBBBBD,complex,1919
SS1630948818400,6,deviant,BBBBBD,complex,5670
SS1630948818400,1,background,BBBDBB,complex,529
SS1630948818400,2,background,BBBDBB,complex,816
SS1630948818400,3,background,BBBDBB,complex,565
SS1630948818400,4,deviant,BBBDBB,complex,891
SS1630948818400,5,background,BBBDBB,complex,805
SS1630948818400,6,background,BBBDBB,complex,1233
SS1630948818400,1,background,BDBBBB,simple,947
SS1630948818400,2,deviant,BDBBBB,simple,645
SS1630948818400,3,background,BDBBBB,simple,1093
SS1630948818400,4,background,BDBBBB,simple,1051
SS1630948818400,5,background,BDBBBB,simple,671
SS1630948818400,6,background,BDBBBB,simple,870
SS1630948818400,1,background,BDBBBB,complex,1492
SS1630948818400,2,deviant,BDBBBB,complex,1492
SS1630948818400,3,background,BDBBBB,complex,1197
SS1630948818400,4,background,BDBBBB,complex,965
SS1630948818400,5,background,BDBBBB,complex,605
SS1630948818400,6,background,BDBBBB,complex,632
SS1630949011055,1,background,BBBDBB,simple,10979.100000023842
SS1630949011055,2,background,BBBDBB,simple,13424
SS1630949011055,3,background,BBBDBB,simple,23439.900000035763
SS1630949011055,4,deviant,BBBDBB,simple,16112.80000001192
SS1630949011055,5,background,BBBDBB,simple,10408
