subject,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type
SS1682398066939,3522,background_block,media/padded_stims/inanimate_001_right.png,null,inanimate_pair_right,null,null,6,3,11,inanimate,pair,right,background
SS1682398066939,3550,background_block,media/padded_stims/inanimate_001_right.png,null,inanimate_pair_right,null,null,6,4,11,inanimate,pair,right,background
SS1682398066939,3130,background_block,media/padded_stims/inanimate_001_right.png,null,inanimate_pair_right,null,null,6,5,11,inanimate,pair,right,background
SS1682398066939,3082,background_block,media/padded_stims/inanimate_001_right.png,null,inanimate_pair_right,null,null,6,6,11,inanimate,pair,right,background
SS1682398066939,3882,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_003_right.png,inanimate_pair_right,inanimate_pair_right,identity,2,1,12,inanimate,pair,right,background
SS1682398066939,3183,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_003_right.png,inanimate_pair_right,inanimate_pair_right,identity,2,2,12,inanimate,pair,right,deviant
SS1682398066939,2621,background_block,media/padded_stims/animate_008_left.png,null,animate_single_left,null,null,2,1,13,animate,single,left,background
SS1682398066939,2750,background_block,media/padded_stims/animate_008_left.png,null,animate_single_left,null,null,2,2,13,animate,single,left,background
SS1682398066939,5177,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/inanimate_012_right.png,animate_pair_right,inanimate_pair_right,animacy,6,1,14,animate,pair,right,background
SS1682398066939,3180,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/inanimate_012_right.png,animate_pair_right,inanimate_pair_right,animacy,6,2,14,animate,pair,right,background
SS1682398066939,3489,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/inanimate_012_right.png,animate_pair_right,inanimate_pair_right,animacy,6,3,14,animate,pair,right,background
SS1682398066939,4084,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/inanimate_012_right.png,animate_pair_right,inanimate_pair_right,animacy,6,4,14,animate,pair,right,background
SS1682398066939,3964,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/inanimate_012_right.png,animate_pair_right,inanimate_pair_right,animacy,6,5,14,animate,pair,right,background
SS1682398066939,3840,deviant_block,media/padded_stims/animate_008_right.png,media/padded_stims/inanimate_012_right.png,animate_pair_right,inanimate_pair_right,animacy,6,6,14,animate,pair,right,deviant
SS1682398066939,5423,background_block,media/padded_stims/animate_006_left.png,null,animate_pair_left,null,null,4,1,15,animate,pair,left,background
SS1682398066939,5990,background_block,media/padded_stims/animate_006_left.png,null,animate_pair_left,null,null,4,2,15,animate,pair,left,background
SS1682398066939,3993,background_block,media/padded_stims/animate_006_left.png,null,animate_pair_left,null,null,4,3,15,animate,pair,left,background
SS1682398066939,3411,background_block,media/padded_stims/animate_006_left.png,null,animate_pair_left,null,null,4,4,15,animate,pair,left,background
SS1682398066939,4396,background_block,media/padded_stims/animate_007_right.png,null,animate_single_right,null,null,6,1,16,animate,single,right,background
SS1682398066939,4319,background_block,media/padded_stims/animate_007_right.png,null,animate_single_right,null,null,6,2,16,animate,single,right,background
SS1682398066939,3444,background_block,media/padded_stims/animate_007_right.png,null,animate_single_right,null,null,6,3,16,animate,single,right,background
SS1682398066939,4166,background_block,media/padded_stims/animate_007_right.png,null,animate_single_right,null,null,6,4,16,animate,single,right,background
SS1682398066939,3108,background_block,media/padded_stims/animate_007_right.png,null,animate_single_right,null,null,6,5,16,animate,single,right,background
SS1682398066939,3265,background_block,media/padded_stims/animate_007_right.png,null,animate_single_right,null,null,6,6,16,animate,single,right,background
SS1682398101141,3161,deviant_block,media/padded_stims/inanimate_001_right.png,media/padded_stims/inanimate_007_right.png,inanimate_pair_right,inanimate_pair_right,identity,2,1,1,inanimate,pair,right,background
SS1682398101141,1711,deviant_block,media/padded_stims/inanimate_001_right.png,media/padded_stims/inanimate_007_right.png,inanimate_pair_right,inanimate_pair_right,identity,2,2,1,inanimate,pair,right,deviant
SS1682398101141,2633,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_pair_right,null,null,6,1,2,inanimate,pair,right,background
SS1682398101141,1877,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_pair_right,null,null,6,2,2,inanimate,pair,right,background
SS1682398101141,1775,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_pair_right,null,null,6,3,2,inanimate,pair,right,background
SS1682398101141,3277,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_pair_right,null,null,6,4,2,inanimate,pair,right,background
SS1682398101141,3384,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_pair_right,null,null,6,5,2,inanimate,pair,right,background
SS1682398101141,3768,background_block,media/padded_stims/inanimate_010_right.png,null,inanimate_pair_right,null,null,6,6,2,inanimate,pair,right,background
SS1682398101141,3232,deviant_block,media/padded_stims/inanimate_011_left.png,media/padded_stims/animate_004_left.png,inanimate_single_left,animate_single_left,animacy,4,1,3,inanimate,single,left,background
SS1682398101141,912,deviant_block,media/padded_stims/inanimate_011_left.png,media/padded_stims/animate_004_left.png,inanimate_single_left,animate_single_left,animacy,4,2,3,inanimate,single,left,background
SS1682398101141,1560,deviant_block,media/padded_stims/inanimate_011_left.png,media/padded_stims/animate_004_left.png,inanimate_single_left,animate_single_left,animacy,4,3,3,inanimate,single,left,background
SS1682398101141,3390,deviant_block,media/padded_stims/inanimate_011_left.png,media/padded_stims/animate_004_left.png,inanimate_single_left,animate_single_left,animacy,4,4,3,inanimate,single,left,deviant
SS1682398101141,1505,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_005_right.png,inanimate_single_right,inanimate_single_right,identity,2,1,4,inanimate,single,right,background
SS1682398101141,2952,deviant_block,media/padded_stims/inanimate_008_right.png,media/padded_stims/inanimate_005_right.png,inanimate_single_right,inanimate_single_right,identity,2,2,4,inanimate,single,right,deviant
SS1682398101141,2431,background_block,media/padded_stims/animate_005_right.png,null,animate_single_right,null,null,2,1,5,animate,single,right,background
SS1682398101141,1432,background_block,media/padded_stims/animate_005_right.png,null,animate_single_right,null,null,2,2,5,animate,single,right,background
SS1682398101141,1765,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,1,6,animate,single,left,background
SS1682398101141,1814,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,2,6,animate,single,left,background
SS1682398101141,3591,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,3,6,animate,single,left,background
SS1682398101141,917,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,4,6,animate,single,left,background
SS1682398101141,1725,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,5,6,animate,single,left,background
SS1682398101141,2734,background_block,media/padded_stims/animate_001_left.png,null,animate_single_left,null,null,6,6,6,animate,single,left,background
SS1682398101141,1148,background_block,media/padded_stims/animate_006_left.png,null,animate_pair_left,null,null,6,1,7,animate,pair,left,background
SS1682398101141,4003,background_block,media/padded_stims/animate_006_left.png,null,animate_pair_left,null,null,6,2,7,animate,pair,left,background
SS1682398101141,3091,background_block,media/padded_stims/animate_006_left.png,null,animate_pair_left,null,null,6,3,7,animate,pair,left,background
SS1682398101141,1245,background_block,media/padded_stims/animate_006_left.png,null,animate_pair_left,null,null,6,4,7,animate,pair,left,background
SS1682398101141,1192,background_block,media/padded_stims/animate_006_left.png,null,animate_pair_left,null,null,6,5,7,animate,pair,left,background
SS1682398101141,3624,background_block,media/padded_stims/animate_006_left.png,null,animate_pair_left,null,null,6,6,7,animate,pair,left,background
SS1682398101141,2138,background_block,media/padded_stims/inanimate_007_left.png,null,inanimate_single_left,null,null,4,1,8,inanimate,single,left,background
SS1682398101141,1353,background_block,media/padded_stims/inanimate_007_left.png,null,inanimate_single_left,null,null,4,2,8,inanimate,single,left,background
SS1682398101141,1629,background_block,media/padded_stims/inanimate_007_left.png,null,inanimate_single_left,null,null,4,3,8,inanimate,single,left,background
SS1682398101141,1232,background_block,media/padded_stims/inanimate_007_left.png,null,inanimate_single_left,null,null,4,4,8,inanimate,single,left,background
SS1682398101141,801,background_block,media/padded_stims/inanimate_006_right.png,null,inanimate_single_right,null,null,6,1,9,inanimate,single,right,background
SS1682398101141,2590,background_block,media/padded_stims/inanimate_006_right.png,null,inanimate_single_right,null,null,6,2,9,inanimate,single,right,background
SS1682398101141,2086,background_block,media/padded_stims/inanimate_006_right.png,null,inanimate_single_right,null,null,6,3,9,inanimate,single,right,background
SS1682398101141,905,background_block,media/padded_stims/inanimate_006_right.png,null,inanimate_single_right,null,null,6,4,9,inanimate,single,right,background
SS1682398101141,2229,background_block,media/padded_stims/inanimate_006_right.png,null,inanimate_single_right,null,null,6,5,9,inanimate,single,right,background
SS1682398101141,2314,background_block,media/padded_stims/inanimate_006_right.png,null,inanimate_single_right,null,null,6,6,9,inanimate,single,right,background
SS1682398101141,707,background_block,media/padded_stims/animate_002_right.png,null,animate_pair_right,null,null,6,1,10,animate,pair,right,background
SS1682398101141,2425,background_block,media/padded_stims/animate_002_right.png,null,animate_pair_right,null,null,6,2,10,animate,pair,right,background
