stim1,stim2,stim3,stim4,stim5,stim6,b_val,d_val,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,world_EIG,batch_id,stim_sequence
8,5,7,15,21,15,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,9,BBBBBB
16,9,7,6,6,6,4.215645197961766,-2.538864949740121,-1.0,1.0,35.0,10.0,0.0001,0.001,19,BBBBBB
8,2,1,0,0,0,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,11,BBBBBB
49,7,4,4,4,4,1.752658931726604,3.6570630679073193,-1.0,1.0,10.0,1.0,0.001,1e-05,0,BBBBBB
19,3,2,2,2,2,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,8,BBBBBB
36,15,1,1,1,1,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,10,BBBBBB
22,8,3,3,0,0,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,12,BBBBBB
10,0,0,0,0,0,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,9,BBBBBB
19,2,1,0,0,0,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,11,BBBBBB
40,7,4,4,3,2,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,0,BBBBBB
68,4,3,3,2,2,-1.8032578941548507,0.0087146688109317,-1.0,1.0,1.0,35.0,0.001,1e-05,0,BBBBBB
25,0,0,13,0,1,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,13,BBBBBB
5,2,0,0,0,0,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,12,BBBBBB
8,0,0,0,0,0,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,10,BBBBBB
19,6,1,1,0,0,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,14,BBBBBB
8,4,3,3,4,6,1.48316945980042,1.3822316296588937,-1.0,1.0,35.0,10.0,0.0001,0.0001,1,BBBBBB
8,4,2,1,0,1,3.437609615017935,-1.2149239999666066,-1.0,1.0,10.0,1.0,0.0001,0.001,15,BBBBBB
11,8,6,4,4,4,3.6133347237967297,-1.2483053789965857,-1.0,1.0,10.0,1.0,0.001,0.001,13,BBBBBB
20,2,1,1,1,1,-1.3288705189095271,-2.5263746483057483,-1.0,1.0,1.0,35.0,0.001,0.001,11,BBBBBB
